episode,rewards
948,-266.26
949,-158.06
950,-188.43
951,-235.21
952,-193.10
953,-199.80
954,-162.27
955,-224.03
956,-170.72
957,-154.40
958,-165.29
959,-185.86
960,-157.07
961,-247.82
962,-120.11
963,-128.78
964,-165.23
965,-102.86
966,-141.51
967,-265.35
968,-169.99
969,-170.30
970,-242.69
971,-224.62
972,-114.62
973,-256.01
974,-65.38
975,-135.21
976,-151.54
977,-159.69
978,-264.75
979,-221.67
980,-264.92
981,-121.79
982,-96.49
983,-101.04
984,-136.43
985,-114.33
986,-173.80
987,-102.30
988,-132.93
989,-110.81
990,-82.27
991,-62.87
992,-152.52
993,-245.04
994,-56.08
995,-237.67
996,-125.50
997,-123.68
998,-75.20
999,-105.11
1000,-164.08
1001,-89.99
1002,-102.61
1003,-79.66
1004,-375.84
1005,-237.64
1006,-76.94
1007,-276.85
1008,-69.55
1009,-90.39
1010,-88.65
1011,-70.95
1012,-62.18
1013,-87.98
1014,-75.73
1015,-117.55
1016,-89.67
1017,-45.89
1018,-43.01
1019,-39.67
1020,-47.30
1021,-31.43
1022,-109.53
1023,-54.40
1024,-83.87
1025,-68.39
1026,-58.31
1027,-123.39
1028,-32.43
1029,-112.19
1030,-165.56
1031,-55.83
1032,-76.51
1033,-122.20
1034,34.13
1035,-141.02
1036,-107.29
1037,-35.45
1038,-66.12
1039,-139.44
1040,-155.78
1041,-10.05
1042,-37.42
1043,-110.96
1044,-120.12
1045,-156.17
1046,-248.92
1047,-153.94
1048,-0.89
1049,-3.74
1050,-153.71
1051,-88.86
1052,-93.62
1053,-78.64
1054,-60.72
1055,-47.24
1056,-34.00
1057,-18.04
1058,-46.38
1059,7.63
1060,-23.20
1061,-36.02
1062,-29.04
1063,-62.22
1064,-37.39
1065,-30.93
1066,-1.42
1067,-46.39
1068,-15.98
1069,-38.31
1070,-13.22
1071,-53.47
1072,202.63
1073,-3.38
1074,218.56
1075,-1.62
1076,237.44
1077,-10.54
1078,-58.90
1079,-64.52
1080,-56.86
1081,-46.91
1082,-18.16
1083,-38.00
1084,-24.25
1085,-51.13
1086,-82.52
1087,-66.16
1088,-61.50
1089,-46.92
1090,-55.31
1091,-63.62
1092,-46.73
1093,-47.42
1094,-49.13
1095,-99.96
1096,-60.07
1097,-5.88
1098,-36.74
1099,-43.44
1100,-46.75
1101,-23.59
1102,-55.51
1103,-44.66
1104,-34.39
1105,147.26
1106,6.36
1107,13.30
1108,114.80
1109,-108.36
1110,-38.24
1111,-41.66
1112,199.93
1113,-3.16
1114,-13.26
1115,224.35
1116,-64.97
1117,189.10
1118,171.14
1119,223.26
1120,-33.78
1121,-29.21
1122,-8.96
1123,215.31
1124,232.14
1125,223.31
1126,185.27
1127,-47.83
1128,168.05
1129,193.34
1130,144.73
1131,198.66
1132,134.45
1133,153.85
1134,190.65
1135,175.44
1136,170.39
1137,208.60
1138,-48.00
1139,216.82
1140,-84.09
1141,-106.47
1142,93.99
1143,156.28
1144,-96.31
1145,136.60
1146,-15.59
1147,141.73
1148,196.21
1149,168.46
1150,-50.79
1151,-60.00
1152,132.95
1153,-16.84
1154,-71.32
1155,-31.34
1156,-21.88
1157,-108.82
1158,-66.00
1159,-19.35
1160,-83.06
1161,-47.03
1162,124.52
1163,-7.19
1164,-86.46
1165,-27.33
1166,173.17
1167,129.90
1168,115.56
1169,-46.91
1170,218.12
1171,166.00
1172,66.69
1173,-2.14
1174,55.47
1175,153.86
1176,-57.10
1177,163.42
1178,-88.51
1179,162.67
1180,177.33
1181,8.00
1182,208.19
1183,0.99
1184,23.49
1185,-6.30
1186,218.77
1187,164.01
1188,260.70
1189,91.90
1190,-19.44
1191,162.31
1192,53.43
1193,172.76
1194,-43.44
1195,-22.61
1196,-31.49
1197,-46.36
1198,18.75
1199,158.55
1200,-77.36
1201,7.58
1202,264.48
1203,-35.87
1204,-60.55
1205,-34.50
1206,-12.39
1207,-14.98
1208,8.38
1209,120.08
1210,-23.99
1211,-33.29
1212,134.77
1213,199.40
1214,195.45
1215,70.14
1216,-32.01
1217,207.89
1218,0.60
1219,229.46
1220,203.91
1221,-42.90
1222,218.61
1223,214.91
1224,205.66
1225,182.65
1226,210.84
1227,255.08
1228,217.13
1229,281.93
1230,203.08
1231,-33.06
1232,192.48
1233,-0.39
1234,-69.45
1235,-16.50
1236,237.08
1237,-23.19
1238,-53.09
1239,203.16
1240,111.51
1241,-86.70
1242,134.37
1243,143.33
1244,142.44
1245,133.80
1246,179.29
1247,-298.92
1248,-46.22
1249,212.75
1250,206.39
1251,145.09
1252,152.44
1253,157.04
1254,-10.41
1255,152.22
1256,125.57
1257,-189.70
1258,163.84
1259,238.81
1260,161.94
1261,149.95
1262,126.83
1263,231.20
1264,170.67
1265,170.07
1266,78.14
1267,191.87
1268,182.38
1269,167.71
1270,193.71
1271,115.27
1272,239.75
1273,87.52
1274,155.35
1275,130.31
1276,-140.46
1277,192.97
1278,-20.41
1279,157.72
1280,196.25
1281,203.17
1282,199.39
1283,213.78
1284,16.09
1285,189.15
1286,173.57
1287,216.43
1288,210.13
1289,238.92
1290,163.27
1291,6.15
1292,228.65
1293,253.28
1294,-54.67
1295,223.34
1296,152.64
1297,-158.86
1298,-21.75
1299,151.15
1300,128.88
1301,215.37
1302,244.32
1303,226.20
1304,-111.62
1305,242.96
1306,172.75
1307,215.20
1308,156.39
1309,194.56
1310,29.53
1311,204.94
1312,169.51
1313,11.33
1314,184.20
1315,177.93
1316,119.92
1317,195.19
1318,32.02
1319,11.35
1320,258.32
1321,-65.54
1322,292.06
1323,6.24
1324,-145.13
1325,-127.04
1326,-52.62
1327,76.85
1328,-48.61
1329,64.87
1330,124.26
1331,60.65
1332,-7.23
1333,-3.84
1334,-10.22
1335,-17.55
1336,155.91
1337,-45.59
1338,-12.00
1339,187.05
1340,-124.25
1341,-84.99
1342,207.35
1343,153.36
1344,278.08
1345,152.50
1346,-56.62
1347,-85.51
1348,-12.48
1349,-75.70
1350,-26.54
1351,222.02
1352,194.29
1353,231.92
1354,-87.86
1355,249.92
1356,290.30
1357,-102.64
1358,-77.66
1359,253.67
1360,-91.15
1361,-112.04
1362,-101.96
1363,-91.17
1364,37.23
1365,-104.43
1366,231.37
1367,-90.16
1368,227.98
1369,186.88
1370,220.50
1371,190.21
1372,139.75
1373,-108.96
1374,241.26
1375,140.88
1376,-89.91
1377,-6.03
1378,-60.91
1379,-72.86
1380,167.43
1381,260.26
1382,152.89
1383,-86.55
1384,93.90
1385,-75.09
1386,120.84
1387,245.42
1388,137.84
1389,98.69
1390,-67.88
1391,152.32
1392,162.39
1393,206.69
1394,-146.34
1395,-85.77
1396,180.99
1397,259.07
1398,149.22
1399,-4.60
1400,187.41
1401,181.29
1402,194.45
1403,183.75
1404,295.74
1405,-107.46
1406,238.20
1407,-79.63
1408,-63.99
1409,-84.27
1410,208.21
1411,153.32
1412,186.09
1413,-22.94
1414,247.58
1415,226.57
1416,-29.34
1417,-22.22
1418,-23.48
1419,-50.62
1420,213.16
1421,193.40
1422,240.39
1423,270.98
1424,-50.16
1425,214.74
1426,255.47
1427,219.72
1428,260.45
1429,230.83
1430,-231.51
1431,195.47
1432,0.83
1433,148.41
1434,-166.78
1435,-111.09
1436,-52.19
1437,118.74
1438,190.04
1439,-79.44
1440,164.59
1441,235.43
1442,205.57
1443,241.19
1444,-51.90
1445,183.52
1446,-331.34
1447,32.37
1448,40.13
1449,181.11
1450,-91.99
1451,-74.97
1452,-93.11
1453,-118.09
1454,198.30
1455,151.73
1456,237.54
1457,215.78
1458,139.79
1459,239.78
1460,-112.27
1461,124.54
1462,198.20
1463,224.72
1464,175.42
1465,-268.87
1466,277.60
1467,224.67
1468,174.19
1469,201.77
1470,-114.53
1471,251.06
1472,233.42
1473,205.82
1474,194.54
1475,203.30
1476,-183.10
1477,-241.62
1478,277.04
1479,-238.42
1480,-413.77
1481,-329.50
1482,297.10
1483,212.99
1484,211.87
1485,201.76
1486,188.11
1487,-68.48
1488,162.05
1489,218.43
1490,151.54
1491,217.98
1492,-119.90
1493,184.94
1494,175.35
1495,-253.38
1496,-174.76
1497,-52.26
1498,190.13
1499,121.84
1500,212.09
1501,-89.29
1502,189.43
1503,196.59
1504,192.44
1505,-79.31
1506,182.78
1507,35.61
1508,157.06
1509,171.01
1510,198.80
1511,222.42
1512,176.56
1513,209.87
1514,-69.40
1515,188.63
1516,149.51
1517,129.61
1518,199.22
1519,230.16
1520,205.28
1521,192.10
1522,194.82
1523,191.83
1524,-29.23
1525,147.36
1526,201.43
1527,201.84
1528,239.54
1529,-170.05
1530,230.61
1531,234.30
1532,198.44
1533,225.96
1534,190.57
1535,205.15
1536,242.58
1537,201.50
1538,206.53
1539,191.31
1540,226.80
1541,-221.19
1542,205.36
1543,176.98
1544,208.63
1545,225.95
1546,170.03
1547,209.87
1548,192.60
1549,203.13
1550,161.60
1551,181.44
1552,170.01
1553,186.92
1554,254.03
1555,180.09
1556,225.18
1557,191.08
1558,212.86
1559,237.98
1560,247.93
1561,257.34
1562,247.06
1563,207.20
1564,236.11
1565,254.06
1566,245.61
1567,239.57
1568,218.83
1569,272.88
1570,219.76
1571,215.41
1572,203.26
1573,226.92
1574,228.06
1575,195.30
1576,243.42
1577,196.98
1578,178.18
1579,223.71
