episode,rewards,loss,l2_grad,max_grad
372,-68.38,-41.01,0.2894,3.7169
373,-137.24,-58.91,0.3061,3.2621
374,-261.57,27.81,0.6021,7.2777
375,-142.35,848.66,1.2039,14.9221
376,-119.08,40.04,0.2049,3.0050
377,13.18,-3.96,0.2602,3.0725
378,-35.86,-11.02,0.2666,3.6843
379,-167.33,480.02,0.7468,11.2990
380,-136.61,-35.75,0.3876,5.7747
381,-3.55,17.81,0.1880,2.2169
382,-84.00,789.89,1.1097,16.8311
383,-45.93,-45.08,0.5726,7.9082
384,-11.25,877.26,0.7641,11.2235
385,-106.61,26.62,0.1605,2.1208
386,-90.41,-51.13,0.2603,3.7931
387,-179.55,85.52,0.1804,1.9240
388,-16.83,-52.59,0.3830,5.1040
389,-167.90,-101.75,0.6452,8.4473
390,11.69,-37.70,0.3963,5.6150
391,13.19,0.60,0.0679,0.6363
392,55.41,-54.51,0.1598,2.6166
393,-111.18,-88.77,0.5170,6.7346
394,-133.52,-41.53,0.1816,2.4821
395,38.33,923.37,0.9636,15.2575
396,-61.77,-50.37,0.2616,3.2997
397,-82.72,-73.63,0.2778,4.3946
398,-211.29,668.24,0.8021,10.8963
399,45.50,-4.43,0.1216,1.4142
400,-198.37,364.37,0.9726,16.9325
401,-128.97,-36.77,0.3861,4.1078
402,-44.18,7.37,0.1881,2.4091
403,44.20,-44.34,0.1702,2.2523
404,-93.99,-93.23,0.5380,7.6954
405,-21.27,-8.86,0.5669,7.2978
406,-79.41,-66.63,0.4439,6.1625
407,16.81,-38.45,0.2963,4.6325
408,-21.96,-26.54,0.1521,1.9731
409,-154.58,6.60,0.5759,7.6570
410,23.02,967.89,1.8366,34.7897
411,4.23,990.90,0.8244,10.1157
412,-8.27,-26.78,0.1972,2.1050
413,-52.47,-26.99,0.2407,3.2044
414,20.20,889.02,0.9642,11.0821
415,5.51,-31.61,0.2475,4.6571
416,-8.39,1040.30,0.8599,15.7573
417,-14.69,-28.99,0.3881,4.9518
418,-47.27,51.02,0.1392,2.2062
419,-40.19,-21.84,0.2497,2.8009
420,18.84,-25.32,0.1716,1.6299
421,-26.74,-81.32,0.5586,10.5328
422,-33.39,-68.79,0.1669,1.8955
423,-64.00,-20.54,0.1474,2.0717
424,5.05,770.41,1.1545,16.1723
425,-30.74,-90.44,0.3243,3.6509
426,-204.34,42.19,0.2768,3.1497
427,19.83,-60.62,0.3088,3.7444
428,5.02,-51.77,0.1283,1.5601
429,-106.95,-56.34,0.3151,5.2439
430,-65.78,-14.13,0.2627,3.2004
431,-92.33,-66.77,0.3777,6.1630
432,-107.73,16.96,0.3870,5.4905
433,-153.94,41.82,0.4609,7.1898
434,-67.87,-62.94,0.2196,2.8941
435,-250.33,236.55,0.6820,9.9884
436,-162.67,522.79,1.7664,24.1061
437,-101.01,-55.46,0.2898,4.6651
438,-102.50,662.21,0.8711,12.2639
439,-151.57,131.47,0.4873,6.8874
440,-135.34,-75.15,0.6159,9.1247
441,-12.20,-37.29,0.3059,5.1653
442,-258.29,12.65,0.3303,4.0823
443,-111.51,3.88,0.1305,1.2054
444,-23.17,694.61,0.5463,6.3576
445,-84.45,-65.54,0.1422,1.9211
446,38.63,-16.59,0.3023,4.5446
447,-145.84,98.69,0.3026,4.7689
448,-138.70,-33.75,0.2169,2.7403
449,-38.17,772.38,1.2001,17.7894
450,32.84,698.57,0.7697,10.3902
451,-14.07,605.63,1.4096,20.1152
452,3.09,-113.68,0.2901,2.3935
453,71.99,594.56,0.5954,7.4220
454,41.58,569.51,0.9823,18.0184
455,-19.66,-151.86,0.7622,12.0052
456,-20.82,-185.59,0.3403,4.6783
457,22.02,-65.81,0.2175,2.1777
458,-12.93,-101.11,0.2076,2.1168
459,-0.16,-59.19,0.2675,3.5062
460,20.49,-127.95,0.5543,6.7392
461,-35.36,-116.84,0.4354,7.3650
462,15.99,-36.38,0.3879,5.4079
463,45.20,606.33,0.6737,8.9822
464,34.43,547.96,1.0542,11.5465
465,5.09,510.33,1.1951,23.6296
466,34.79,-37.85,0.4395,6.0562
467,-30.21,-92.39,0.3428,4.7541
468,22.51,-12.86,0.1125,1.1337
469,-2.99,-31.17,0.2908,3.5940
470,-139.58,30.48,0.2089,3.1039
471,-118.30,68.30,0.2160,2.4979
472,-124.11,17.84,0.4298,3.9403
473,41.48,-11.67,0.2190,2.2220
474,-187.04,442.71,1.0193,13.9967
475,-16.99,-77.42,0.7048,8.3053
476,-2.11,-49.86,0.4323,5.8055
477,23.54,538.84,1.9502,23.1642
478,-13.97,507.74,1.2745,20.4677
479,-0.56,569.77,0.6781,7.2455
480,27.05,667.09,1.4936,19.0589
481,39.95,-14.00,0.1851,2.5165
482,-70.01,514.28,1.3588,22.8105
483,-16.25,141.60,0.8231,14.3071
484,-186.48,-74.46,0.3348,3.5940
485,12.25,158.45,1.2009,13.6550
486,-163.78,94.21,0.8353,10.8654
487,-84.56,222.68,1.0940,19.9897
488,-19.88,-42.56,1.2819,20.7817
489,-17.73,154.58,1.1195,16.2670
490,-73.14,-175.00,0.3718,4.6436
491,-73.81,312.15,0.8609,15.9448
492,-40.60,166.99,0.7873,10.6925
493,-200.20,-173.34,0.5230,7.7929
494,27.03,369.02,0.8265,10.7812
495,-4.66,-127.61,0.8420,13.4317
496,-206.60,-59.20,0.4210,6.6350
497,8.42,-91.93,0.3224,4.4873
498,-76.77,-92.76,0.5774,6.8110
499,-29.05,367.78,0.5797,7.1465
500,-154.61,-60.11,0.4280,4.9554
501,-302.10,-63.95,0.4651,6.8856
502,62.88,-70.63,0.3523,4.3832
503,19.45,-94.90,0.3195,3.8893
504,-115.85,-36.13,0.2236,2.2785
505,-66.58,497.30,1.9416,32.7603
506,50.83,445.44,1.1592,12.9632
507,96.79,532.78,1.0690,12.5624
508,24.88,606.31,0.7308,11.0475
509,77.08,-118.27,0.2927,4.6049
510,-64.95,-82.04,0.5065,5.1563
511,-34.74,-59.81,0.2678,4.2963
512,-66.86,-91.42,0.3844,4.6831
513,32.17,-94.90,0.2737,3.9132
514,-8.15,-58.32,0.3039,3.5108
515,-11.83,-66.50,0.3108,3.5351
516,-19.43,-31.64,0.4203,4.6149
517,70.89,833.48,0.7202,10.6910
518,-1.94,-17.20,0.2504,3.8960
519,-27.76,-102.17,0.3392,3.8932
520,46.12,-61.65,0.2219,2.9492
521,10.20,-43.50,0.3042,3.3787
522,37.09,-4.69,0.2929,3.6560
523,-10.00,-4.52,0.3542,4.6503
524,84.93,896.88,1.0898,14.1511
525,-47.94,-26.40,0.1930,2.3812
526,33.78,-17.66,0.2189,3.4248
527,-6.21,-22.21,0.2955,4.4632
528,-38.46,-33.79,0.3827,5.5070
