episode,loss,rewards
602,-7.18,-90.97
603,-8.86,-131.32
604,-9.05,-103.37
605,-6.96,-105.51
606,-6.89,-127.53
607,-6.94,-114.89
608,-12.02,-140.03
609,-6.53,-108.13
610,-12.62,-188.53
611,-3.28,-69.00
612,-5.02,-54.93
613,-7.88,-116.11
614,-4.44,-61.16
615,-6.25,-93.04
616,-18.34,-252.16
617,-6.71,-99.95
618,-6.15,-117.39
619,-10.62,-194.02
620,-5.44,-96.91
621,-7.52,-147.26
622,-6.01,-92.16
623,-5.71,-90.57
624,-11.09,-143.85
625,-6.25,-95.24
626,-4.89,-80.84
627,-7.58,-135.47
628,-7.86,-122.13
629,-7.81,-130.33
630,-9.32,-124.99
631,-16.43,-201.52
632,-3.63,-41.94
633,-6.23,-87.89
634,-6.05,-92.05
635,-9.88,-138.29
636,-7.51,-117.83
637,-7.37,-103.54
638,-7.24,-102.40
639,-3.65,-54.21
640,-5.48,-99.50
641,-13.88,-200.74
642,-6.52,-132.95
643,-7.00,-134.24
644,-7.27,-85.85
645,-7.83,-107.98
646,-5.50,-86.25
647,-6.93,-108.95
648,-4.71,-83.57
649,-7.15,-102.47
650,-6.96,-116.72
651,-9.36,-154.84
652,-6.78,-116.55
653,-5.21,-106.09
654,-8.79,-171.28
655,-6.41,-122.19
656,-6.37,-103.87
657,-8.04,-121.27
658,-5.28,-103.54
659,-3.47,-75.15
660,-5.62,-123.10
661,-5.52,-104.12
662,-5.54,-104.23
663,-4.67,-97.66
664,-5.65,-117.52
665,-7.72,-117.28
666,-4.26,-78.92
667,-2.69,-46.66
668,-6.08,-112.45
669,-4.15,-84.15
670,-8.32,-143.32
671,-12.80,-177.04
672,-6.48,-105.36
673,-7.72,-126.90
674,-7.21,-131.69
675,-5.38,-122.33
676,-6.91,-151.92
677,-4.80,-80.65
678,-5.95,-112.98
679,-13.18,-189.97
680,-9.86,-132.23
681,-9.46,-127.24
682,-4.76,-87.15
683,-4.35,-78.64
684,-5.00,-85.28
685,-7.65,-89.67
686,-2.74,-49.37
687,-8.13,-105.25
688,-8.54,-122.81
689,-10.18,-171.40
690,-7.01,-94.39
691,-4.90,-89.12
692,-6.70,-100.98
693,-5.48,-113.12
694,-8.71,-118.98
695,-6.09,-94.98
696,-7.51,-120.37
697,-9.38,-134.33
698,-4.77,-75.87
699,-7.21,-115.04
700,-8.32,-158.05
701,-22.89,-335.39
702,-3.48,-56.05
703,-6.97,-148.35
704,-10.00,-124.91
705,-4.01,-78.69
706,-4.81,-91.04
707,-4.37,-99.84
708,-10.07,-135.90
709,-6.06,-94.29
710,-11.36,-197.32
711,-7.53,-96.82
712,-11.23,-171.94
713,-6.07,-116.99
714,-2.91,-59.98
715,-6.44,-109.21
716,-7.97,-137.70
717,-10.26,-155.96
718,-10.79,-143.95
719,-4.91,-90.99
720,-7.47,-114.37
721,-8.51,-127.07
722,-8.50,-134.99
723,-6.69,-109.87
724,-7.23,-114.20
725,-6.12,-88.35
726,-7.95,-101.28
727,-5.28,-80.95
728,-6.16,-87.67
729,-1.26,-24.51
730,-7.30,-98.01
731,-8.29,-103.79
732,-7.12,-133.53
733,-11.09,-163.35
734,-6.20,-93.01
735,-3.44,-41.81
736,-8.07,-107.38
737,-8.86,-99.71
738,-8.32,-107.88
739,-7.17,-100.12
740,-9.51,-111.01
741,-4.47,-77.23
742,-3.65,-63.72
743,-6.13,-107.75
744,-6.62,-110.93
745,-8.18,-136.88
746,-11.39,-129.15
747,-12.18,-166.92
748,-4.99,-82.79
749,-4.23,-70.53
750,-5.02,-63.73
751,-3.30,-41.29
752,-7.44,-118.87
753,-9.65,-130.93
754,-4.58,-62.09
755,-5.01,-56.10
756,-10.52,-134.43
757,-3.55,-45.67
758,-8.66,-98.65
759,-5.42,-119.99
760,-5.42,-74.44
761,-5.45,-88.14
762,-8.27,-111.52
763,-7.34,-107.59
764,-11.88,-152.48
765,-13.52,-171.18
766,-7.18,-105.32
767,-4.57,-57.78
768,-4.62,-79.45
769,-4.88,-102.80
770,-7.20,-92.94
771,-1.18,-16.38
772,-8.99,-118.88
773,-5.97,-71.66
774,-6.06,-80.24
775,-4.94,-74.38
776,-7.09,-100.45
777,-5.73,-81.71
778,-2.85,-64.75
779,-4.70,-63.44
780,-4.00,-71.88
781,-7.17,-91.94
782,-6.62,-74.15
783,-4.95,-98.11
784,-7.51,-103.57
785,-6.14,-87.85
786,-3.59,-66.78
787,-5.39,-82.77
788,-4.72,-65.68
789,-5.24,-80.57
790,-6.95,-92.86
791,-4.94,-55.10
792,-5.07,-76.78
793,-5.10,-57.08
794,-10.92,-126.75
795,-1.65,-44.46
796,-7.94,-101.45
797,-6.13,-96.89
798,-9.46,-144.59
799,-3.16,-52.89
800,-8.97,-126.89
801,-6.71,-85.52
802,-3.33,-41.26
803,-8.83,-104.58
804,-3.10,-71.67
805,-10.09,-125.50
806,-3.99,-62.07
807,-7.36,-118.71
808,-4.44,-69.43
809,-6.40,-98.96
810,-3.87,-75.62
811,-8.21,-122.94
812,-6.23,-74.32
813,-7.37,-96.60
814,-3.72,-66.50
815,-7.92,-114.15
816,-4.56,-69.37
817,4.50,40.42
818,-12.22,-154.23
819,-5.19,-84.24
820,-6.96,-87.51
821,-8.31,-111.94
822,-2.90,-25.75
823,-3.15,-54.21
824,-4.82,-74.25
825,-6.76,-90.20
826,-6.82,-73.53
827,-8.81,-107.60
828,-6.89,-88.13
829,-7.08,-107.73
830,-5.60,-93.02
831,-3.21,-50.08
832,-4.15,-68.00
833,-6.64,-76.59
834,-6.15,-79.33
835,-2.52,-22.71
836,-3.64,-32.90
837,-4.07,-69.35
838,-16.31,-201.43
839,-8.30,-91.66
840,-4.31,-61.72
841,-4.16,-44.95
842,-4.46,-66.64
843,-8.25,-81.79
844,-5.92,-80.73
845,-2.40,-46.46
846,-3.78,-73.98
847,-6.67,-94.11
848,-1.89,-13.03
849,-8.58,-115.92
850,-6.29,-79.32
851,-6.47,-67.07
852,5.51,49.30
853,-4.90,-63.21
854,-2.51,-28.19
855,-3.49,-34.84
856,-5.50,-79.58
857,-5.13,-56.29
858,-4.16,-38.12
859,-5.46,-70.94
860,-0.23,-1.90
861,-5.80,-93.07
862,-3.48,-34.29
863,-8.62,-130.87
864,-6.60,-89.66
865,-37.91,-250.40
866,-3.36,-37.90
867,-6.24,-86.09
868,-3.39,-46.41
869,-3.66,-36.26
870,2.73,45.98
871,-2.77,-51.40
872,-3.26,-27.49
873,-3.36,-70.04
874,-5.03,-89.37
875,-5.45,-76.18
876,-2.24,-7.01
877,-2.31,-29.16
878,-1.13,-44.15
879,-2.01,-31.30
880,-5.63,-70.54
881,-3.39,-33.46
882,-1.13,-19.40
883,-6.62,-90.82
884,-4.31,-52.96
885,-5.65,-71.40
886,-3.34,-67.79
887,-3.25,-38.98
888,-8.63,-130.24
889,-6.05,-74.81
890,-4.08,-43.25
891,-14.24,-182.11
892,-5.50,-77.14
893,-4.74,-60.15
894,-7.50,-107.05
895,-1.37,-16.12
896,-3.95,-66.53
897,-9.78,-131.47
898,-3.94,-40.08
899,-4.41,-59.01
900,-6.35,-84.32
901,-8.39,-101.63
902,-5.67,-59.50
903,-4.87,-54.97
904,-5.00,-54.17
905,-3.57,-22.50
906,-8.05,-88.31
907,-4.39,-57.64
908,-4.97,-66.88
909,-2.26,-39.34
910,-5.82,-94.53
911,-3.76,-78.96
912,-5.55,-65.97
913,-4.56,-67.72
914,-7.14,-98.52
915,-4.26,-43.30
916,-6.73,-82.00
917,-3.41,-43.83
918,-5.16,-92.47
919,-7.18,-71.10
920,-8.10,-84.90
921,-0.55,-7.52
922,-3.93,-31.85
923,-1.65,1.97
924,-3.22,-48.78
925,-1.96,-31.97
926,-5.32,-41.06
927,4.46,50.11
928,-4.67,-51.07
929,-4.70,-63.64
930,-3.35,-32.83
931,-1.16,-24.57
932,-4.31,-46.93
933,-3.29,-31.88
934,-0.54,9.40
935,-1.40,-18.55
936,-5.26,-55.35
937,-2.92,-37.28
938,-3.27,-43.26
939,0.37,-1.47
940,-13.11,-180.81
941,-1.58,-20.37
942,-4.06,-42.52
943,-1.78,-14.04
944,-4.49,-19.91
945,-4.69,-53.44
946,-3.15,-15.07
947,-4.90,-50.63
948,-10.26,-100.41
949,-2.86,-18.84
950,0.27,-7.21
951,-6.97,-57.36
952,-0.19,-54.85
953,-17.57,-87.12
954,-6.18,-65.68
955,-8.91,-134.48
956,-33.53,-251.54
957,-17.48,-214.97
958,-10.93,-115.70
959,-4.88,-33.09
960,-28.32,-273.69
961,-24.19,-295.24
962,-1.75,-15.13
963,-3.18,-48.08
964,2.07,-4.97
965,-2.15,-25.97
966,-6.75,-49.35
967,-9.98,-97.60
968,-2.83,-3.21
969,-0.22,25.06
970,-23.68,-268.89
971,1.39,8.01
972,-0.87,-2.34
973,-6.57,-60.94
974,-9.51,-87.22
975,3.39,27.23
976,-3.08,-31.85
977,-3.78,-51.46
978,-3.83,-50.33
979,-1.96,3.73
980,0.22,47.02
981,-26.58,-251.75
982,-3.33,10.98
983,-29.51,-256.10
984,-3.46,-16.40
985,-1.84,-17.69
986,5.22,44.10
987,-1.83,-2.80
988,-29.59,-322.89
989,-26.15,-250.77
990,-32.82,-280.57
991,-6.10,-45.42
992,-0.74,16.01
993,0.82,11.19
994,1.38,8.82
995,-4.00,-41.90
996,-2.01,-13.49
997,-3.54,-37.19
998,-7.85,-69.57
999,-4.82,-47.39
1000,-0.73,-19.65
1001,-3.93,-35.83
1002,0.09,7.38
1003,-5.23,-70.80
1004,-34.90,-251.47
1005,-1.86,-7.55
1006,-6.71,-45.24
1007,-0.52,-28.56
1008,-34.35,-289.86
1009,-6.90,-26.11
1010,-33.32,-250.23
1011,-11.43,-175.01
1012,-33.63,-251.24
1013,-23.89,-218.31
1014,-29.26,-250.50
1015,1.11,12.36
1016,-9.18,-117.81
1017,-24.66,-251.28
1018,-28.43,-251.07
1019,-3.64,-63.12
1020,-13.03,-157.05
1021,-9.62,-102.94
1022,-3.63,-38.40
1023,-4.21,-71.22
1024,-28.46,-250.35
1025,-5.18,-84.86
1026,1.91,16.37
1027,-27.14,-251.44
1028,-13.91,-125.66
1029,-30.71,-252.39
1030,-4.18,-26.36
1031,1.54,-0.03
1032,-5.88,-56.67
1033,0.68,39.77
1034,-30.44,-251.25
1035,-2.07,2.90
1036,-4.28,-49.94
1037,-0.46,1.55
1038,-32.00,-250.76
1039,-2.72,-32.11
1040,0.03,-1.42
1041,-0.56,0.17
1042,-33.65,-250.11
1043,-22.62,-151.80
1044,-0.58,-17.23
1045,2.17,40.02
1046,-33.52,-251.58
1047,1.83,33.54
1048,0.32,7.36
1049,0.14,13.10
1050,-35.72,-250.12
1051,0.70,13.52
1052,0.63,21.12
1053,1.19,5.13
1054,-1.74,-7.64
1055,-2.89,-30.67
1056,-1.50,0.68
1057,-2.63,-30.90
1058,-0.17,11.62
1059,1.65,23.81
1060,0.01,26.54
1061,0.17,3.51
1062,0.72,17.65
1063,-26.46,-252.08
1064,-2.10,-17.94
1065,-2.68,-61.43
1066,-3.37,-30.09
1067,-0.77,-18.29
1068,0.79,14.19
1069,0.05,5.58
1070,-3.25,-35.23
1071,-0.70,-8.50
1072,0.05,-6.52
1073,1.41,16.80
1074,-2.66,-28.62
1075,-0.72,-18.36
1076,-1.77,10.49
1077,0.30,-13.30
1078,-5.61,-44.78
1079,-29.12,-250.44
1080,0.75,21.40
1081,0.67,12.77
1082,0.45,43.43
1083,-32.96,-253.23
1084,1.24,26.92
1085,1.23,37.99
1086,-1.12,-18.68
1087,-31.05,-250.33
1088,-2.53,-25.04
1089,-0.08,16.28
1090,-34.76,-250.40
1091,-32.95,-251.79
1092,-0.49,20.97
1093,-32.48,-250.58
1094,-34.31,-254.70
1095,1.59,51.72
1096,-37.54,-250.79
1097,-29.79,-250.84
1098,-31.28,-250.36
1099,2.67,36.23
1100,0.56,29.82
1101,0.69,0.12
1102,1.17,29.85
1103,1.34,51.08
1104,0.46,8.39
1105,-0.65,6.88
1106,-32.58,-254.96
1107,1.63,54.13
1108,-37.95,-251.07
1109,4.95,85.04
1110,-34.77,-251.87
1111,-35.64,-254.87
1112,-35.51,-250.34
1113,-37.33,-252.96
1114,1.31,43.79
1115,2.54,45.69
1116,1.97,48.85
1117,-0.71,15.44
1118,0.58,35.81
1119,-36.32,-250.96
1120,0.40,42.85
1121,-0.59,3.69
1122,0.54,29.06
1123,-1.02,34.76
1124,-0.58,-24.97
1125,-1.46,-6.59
1126,-0.65,14.57
1127,-36.69,-250.01
1128,-1.36,5.30
1129,-0.67,1.44
1130,-2.48,-25.49
1131,-1.81,-20.42
1132,0.92,33.17
1133,-33.26,-250.59
1134,-36.84,-250.17
1135,0.36,30.41
1136,0.61,35.41
1137,0.44,17.98
1138,-0.16,25.51
1139,-37.16,-250.71
1140,-33.23,-250.59
1141,-1.69,-12.53
1142,-1.58,-0.08
1143,-1.32,-30.37
1144,-0.96,1.19
1145,-27.04,-251.73
1146,-4.02,-6.70
1147,-0.39,41.67
1148,-21.45,-251.56
1149,0.74,19.66
1150,1.32,50.43
1151,1.08,35.33
1152,12.63,218.24
1153,-0.11,28.08
1154,1.38,31.48
1155,-0.39,17.43
1156,-0.12,12.56
1157,-2.06,-17.94
1158,0.78,40.81
1159,-2.67,-9.83
1160,-0.04,36.82
1161,-6.29,-40.58
1162,13.92,239.60
1163,-2.10,-7.94
1164,-2.10,15.59
