episode,loss,rewards,adv
329,-0.67,-129.58,-3.0737
330,1.42,-77.97,26.0949
331,1.93,-119.90,-11.5986
332,0.73,-97.58,15.7741
333,1.51,-105.66,-1.2342
334,-1.14,-115.64,3.2872
335,-0.34,-112.30,8.6596
336,9.06,-19.70,30.5757
337,2.86,-102.44,8.5386
338,-0.93,-116.59,2.6690
339,-0.15,-105.75,7.4778
340,1.90,-78.10,24.8834
341,2.00,-67.40,30.5667
342,14.72,7.00,43.2502
343,1.81,-97.36,13.8901
344,1.05,-71.11,33.9074
345,-0.50,-110.37,5.2129
346,0.20,-97.52,11.1877
347,-0.35,-90.31,18.2048
348,-1.49,-151.22,-15.1494
349,0.78,-91.35,8.5721
350,1.12,-90.73,1.9741
351,-6.38,-195.57,-13.1089
352,0.62,-118.02,-3.3867
353,0.54,-87.59,11.3537
354,0.72,-91.30,16.5056
355,0.97,-93.72,3.8014
356,-1.34,-125.86,-9.7311
357,-7.21,-181.71,23.9293
358,3.36,-58.94,22.6331
359,1.58,-80.78,10.6843
360,-2.82,-160.38,-36.5283
361,3.54,-62.37,25.9217
362,0.54,-70.92,39.0011
363,-0.98,-113.88,3.8192
364,6.30,-57.60,20.4037
365,-1.53,-135.14,-26.3194
366,1.02,-120.72,-1.8359
367,1.21,-74.55,17.1246
368,0.27,-103.35,5.4593
369,-2.73,-136.43,-1.0893
370,12.86,8.20,38.1360
371,0.12,-83.71,20.2821
372,-6.97,-206.61,-27.4912
373,2.85,-82.23,14.8046
374,1.68,-79.24,14.1391
375,-18.51,-324.92,-44.9838
376,-9.43,-228.71,-45.0080
377,-0.63,-95.38,11.1239
378,1.46,-123.49,-5.2417
379,-0.13,-118.95,-1.0242
380,0.69,-71.98,28.1115
381,-2.24,-131.18,-7.5147
382,1.67,-114.46,1.6654
383,4.84,-54.61,24.0490
384,-1.83,-137.03,-19.2253
385,-1.88,-153.44,-34.9740
386,-0.48,-80.40,29.3233
387,2.75,-81.18,19.2239
388,-11.44,-244.71,-45.2395
389,-5.32,-213.73,-68.7053
390,0.30,-108.25,1.2033
391,1.05,-102.01,1.8992
392,-4.74,-170.65,-15.3352
393,0.45,-85.24,23.8533
394,0.97,-110.71,-6.7693
395,1.96,-69.88,24.0854
396,3.57,-87.51,16.6695
397,-6.49,-212.59,-61.6541
398,-4.80,-175.23,-10.6054
399,0.57,-104.94,5.0543
400,-3.04,-169.68,-16.0865
401,3.01,-40.08,45.6882
402,-1.57,-144.48,-10.3167
403,1.73,-95.73,1.8974
404,3.75,-69.13,17.6457
405,-0.22,-106.69,13.4971
406,1.61,-101.71,8.7142
407,-0.35,-167.04,-20.8752
408,3.03,-71.71,19.8309
409,1.43,-80.73,28.1543
410,5.18,-60.30,24.7880
411,1.96,-97.48,21.6183
412,7.06,11.18,68.2280
413,8.66,-58.49,22.4252
414,8.14,-14.74,53.5095
415,5.81,-85.90,16.5616
416,1.31,-75.23,38.7673
417,2.30,-98.38,12.2108
418,12.99,-37.17,24.6649
419,1.18,-78.17,26.8986
420,-5.31,-173.68,-19.5132
421,1.44,-62.36,37.5303
422,1.48,-104.16,11.0628
423,3.97,-40.12,42.7745
424,1.79,-81.20,24.0575
425,-5.33,-182.16,-0.6808
426,-8.53,-197.50,3.0980
427,1.73,-58.57,38.8298
428,12.95,-165.33,-34.3994
429,-1.23,-115.39,23.6053
430,7.63,-63.27,19.2377
431,3.19,-72.69,21.3465
432,5.06,-13.33,57.2969
433,1.56,-144.44,-18.2679
434,12.55,-146.30,-13.8416
435,-16.75,-337.75,-26.6929
436,1.92,-85.57,22.4233
437,-7.86,-219.75,-16.2657
438,-15.81,-385.50,-33.0577
439,-34.01,-733.00,-88.6577
440,9.76,-53.87,29.9403
441,-2.99,-138.97,-10.1633
442,-3.34,-274.51,-11.3309
443,-1.31,-103.79,45.7401
444,-1.14,-96.59,25.4855
445,2.75,-90.69,-3.6843
446,2.26,-102.71,11.3221
447,-0.24,-115.49,12.8654
448,0.45,-80.89,21.8330
449,2.61,-59.03,34.7636
450,2.89,-42.02,37.1317
451,3.29,-31.36,46.8368
452,6.66,-18.99,37.6674
453,4.04,-53.83,31.6102
454,-0.59,-81.73,20.4554
455,0.27,-116.22,6.0553
456,0.33,-89.30,9.1181
457,5.50,-59.42,23.1032
458,6.60,-5.04,56.1203
459,-14.07,-357.94,102.7280
460,6.88,-44.83,17.4762
461,6.40,-6.32,49.1718
462,-2.10,-86.76,23.4112
463,2.53,-83.59,8.4878
464,2.51,-68.09,12.3496
465,1.75,-74.72,31.7091
466,-23.44,-359.98,49.2699
467,1.02,-31.34,48.6332
468,5.43,-73.01,6.8113
469,1.20,-62.06,20.6139
470,6.44,-12.92,41.1290
471,10.61,-0.95,33.6534
472,4.07,-31.59,35.6139
473,0.91,-77.95,22.8181
474,3.14,-57.12,30.9393
475,3.99,-57.38,24.8366
476,-7.15,-190.80,-9.7804
477,-0.01,-50.29,37.2551
478,-0.21,-37.23,53.6976
479,-0.42,-89.07,18.5181
480,5.23,-25.20,29.0841
481,5.61,27.27,75.1877
482,9.77,-36.50,11.8944
483,-0.62,-50.28,36.4336
484,7.68,-1.27,30.1210
485,0.59,-63.47,29.4882
486,3.95,-3.23,49.0970
487,-0.84,-63.08,30.8613
488,3.11,-44.93,26.1428
489,-0.30,-67.01,14.7504
490,1.78,-19.85,47.8726
491,10.51,19.27,36.8142
492,4.66,-38.65,21.1710
493,0.07,-77.26,18.7832
494,1.90,-17.78,56.1414
495,-1.42,-66.20,35.5135
496,-1.19,-113.02,9.7275
497,-8.60,-187.85,30.6363
498,16.61,59.21,43.4080
499,3.22,-39.40,30.3273
500,6.87,-145.70,16.0442
501,5.76,-54.12,14.2003
502,4.23,-89.09,3.0095
