episode,rewards,loss,l2_grad,max_grad
303,-141.14,-1.72,0.1220,1.2893
304,-391.49,0.44,0.4529,12.9389
305,-84.86,-3.46,0.3827,9.8987
306,-184.36,-0.85,0.2140,6.8622
307,-286.97,-0.72,0.4145,10.6512
308,-95.62,-2.71,0.2504,7.9612
309,-188.07,-3.15,0.2747,8.2181
310,-381.33,-0.26,0.2628,7.5137
311,-387.82,-3.34,0.3352,10.3176
312,-274.01,-0.92,0.2403,6.4803
313,-237.51,-3.45,0.3182,9.2802
314,-196.06,0.58,0.2978,8.8460
315,-127.40,-2.03,0.2139,5.4056
316,-139.39,-4.02,0.3357,11.1082
317,-77.00,-0.27,0.1518,3.3100
318,-128.38,-3.75,0.2633,8.2642
319,-116.49,-4.38,0.3495,10.7866
320,-182.40,0.63,0.3474,9.5685
321,-194.52,-1.90,0.1911,2.7271
322,-256.67,-2.99,0.3463,7.7997
323,-351.55,-3.01,0.1323,1.4727
324,-252.10,-2.78,0.3064,8.1330
325,-106.34,-1.39,0.1207,3.1745
326,-116.85,-1.38,0.1294,2.9071
327,-161.07,-2.09,0.2295,5.1824
328,-78.41,-3.14,0.2681,7.3469
329,-87.60,-3.37,0.2595,8.4219
330,-274.67,-1.27,0.3452,9.1507
331,-102.92,-2.51,0.2017,3.6148
332,-257.52,-1.45,0.2703,7.3989
333,-113.69,-1.79,0.2582,8.6854
334,-151.90,-1.76,0.2556,8.3817
335,-164.42,-1.46,0.2368,6.9280
336,-50.10,-3.04,0.3129,9.7756
337,-367.99,-0.37,0.3044,5.9301
338,-434.60,-1.23,0.3242,6.5018
339,-146.79,-2.71,0.2604,7.1484
340,-149.80,-0.57,0.2325,5.0816
341,-192.78,-1.46,0.2249,6.0259
342,-222.50,-2.19,0.2940,9.1907
343,-99.34,-4.58,0.3340,9.8214
344,-434.90,-0.50,0.4496,13.3894
345,-82.09,-3.07,0.3206,10.4929
346,-80.83,-0.89,0.1783,4.5479
347,-406.52,-0.30,0.4343,12.2521
348,-77.16,-4.21,0.3500,10.3897
349,-78.97,-3.75,0.2924,9.3304
350,-101.24,-1.72,0.1262,2.4302
351,-104.67,-0.89,0.1042,1.6634
352,-46.49,-1.42,0.2772,7.5036
353,-196.06,-2.02,0.2995,7.9252
354,-33.52,-1.86,0.1815,2.6523
355,-107.26,-4.49,0.2705,8.7906
356,-86.68,-4.92,0.3862,10.9521
357,-173.69,-2.54,0.2124,5.5587
358,-252.31,-2.45,0.2079,6.4357
359,-414.50,-1.46,0.2724,5.8057
360,-92.53,-3.66,0.2738,8.2954
361,-101.97,-4.44,0.3433,10.3739
