episode,loss,rewards
914,44.30,500.00
915,45.17,500.00
916,45.67,500.00
917,33.79,420.00
918,47.25,500.00
919,44.18,500.00
920,45.70,500.00
921,47.07,500.00
922,29.42,392.00
923,16.46,272.00
924,47.03,500.00
925,28.77,389.00
926,46.23,500.00
927,15.50,269.00
928,47.15,500.00
929,46.22,500.00
930,45.95,500.00
931,46.40,500.00
932,44.94,500.00
933,46.21,500.00
934,45.17,500.00
935,44.09,500.00
936,48.28,500.00
937,46.35,500.00
938,46.00,500.00
939,34.54,424.00
940,46.65,500.00
941,46.50,500.00
942,44.43,500.00
943,43.78,500.00
944,46.78,500.00
945,42.73,500.00
946,18.99,311.00
947,47.82,500.00
948,42.95,493.00
949,22.56,331.00
950,21.70,326.00
951,44.18,500.00
952,46.38,500.00
953,44.88,500.00
954,28.08,384.00
955,45.78,500.00
956,39.06,464.00
957,48.47,500.00
958,20.92,327.00
959,47.68,500.00
960,44.44,500.00
961,44.41,500.00
962,42.54,500.00
963,45.89,500.00
964,44.71,500.00
965,36.39,458.00
966,34.91,439.00
967,45.09,500.00
968,42.88,500.00
969,13.70,256.00
970,27.57,363.00
971,44.78,500.00
972,43.69,500.00
973,42.97,493.00
974,43.13,500.00
975,46.66,500.00
976,45.63,500.00
977,44.09,500.00
978,44.09,500.00
979,47.05,500.00
980,44.02,500.00
981,44.45,500.00
982,42.00,500.00
983,38.68,457.00
984,47.04,500.00
985,42.61,500.00
986,3.68,123.00
987,13.26,250.00
988,44.90,500.00
989,26.74,373.00
990,20.06,321.00
991,7.98,188.00
992,13.71,264.00
993,9.21,206.00
994,14.05,263.00
995,21.85,331.00
996,17.41,284.00
997,38.92,469.00
998,15.07,279.00
999,19.65,311.00
1000,16.09,282.00
1001,38.19,444.00
1002,28.71,389.00
1003,24.43,358.00
1004,17.90,310.00
1005,5.60,159.00
1006,42.85,479.00
1007,45.09,500.00
1008,37.69,453.00
1009,46.18,500.00
1010,43.93,500.00
1011,43.49,500.00
1012,44.10,500.00
1013,44.34,500.00
1014,44.47,500.00
1015,45.41,500.00
1016,44.04,500.00
1017,46.25,500.00
1018,44.27,500.00
1019,44.51,500.00
1020,43.80,500.00
1021,46.46,500.00
1022,45.91,500.00
1023,44.07,500.00
1024,44.54,500.00
1025,47.40,500.00
1026,44.20,500.00
1027,45.93,500.00
1028,45.58,500.00
1029,44.00,500.00
1030,46.71,500.00
1031,45.42,500.00
1032,48.36,500.00
1033,43.89,500.00
1034,44.03,500.00
1035,46.43,500.00
1036,44.61,500.00
1037,46.90,500.00
1038,46.42,500.00
1039,45.35,500.00
1040,47.02,500.00
1041,45.97,500.00
1042,47.39,500.00
1043,46.43,500.00
1044,47.62,500.00
1045,45.25,500.00
1046,43.04,500.00
1047,47.98,500.00
1048,17.74,293.00
1049,47.44,500.00
1050,46.43,500.00
1051,48.22,500.00
1052,45.19,500.00
1053,48.40,500.00
1054,47.23,500.00
1055,45.51,500.00
1056,47.19,500.00
1057,48.64,500.00
1058,47.92,500.00
1059,48.67,500.00
1060,46.75,500.00
1061,47.86,500.00
1062,46.92,500.00
1063,48.49,500.00
1064,47.94,500.00
1065,49.05,500.00
1066,47.90,500.00
1067,46.40,500.00
1068,48.50,500.00
1069,46.72,500.00
1070,48.62,500.00
1071,48.48,500.00
1072,47.70,500.00
1073,47.72,500.00
1074,47.59,500.00
1075,49.64,500.00
1076,46.93,500.00
1077,49.32,500.00
1078,45.70,500.00
1079,50.24,500.00
1080,47.60,500.00
1081,49.17,500.00
1082,23.72,335.00
1083,46.00,500.00
1084,46.90,500.00
1085,47.32,500.00
1086,49.20,500.00
1087,46.00,500.00
1088,28.98,371.00
1089,45.94,500.00
1090,17.32,279.00
1091,47.28,500.00
1092,48.34,500.00
1093,48.46,500.00
1094,46.44,500.00
1095,47.29,500.00
1096,48.41,500.00
1097,45.87,500.00
1098,48.86,500.00
1099,49.84,500.00
1100,47.98,500.00
1101,2.67,107.00
1102,46.05,500.00
1103,47.93,500.00
1104,48.10,500.00
1105,48.11,500.00
1106,48.08,500.00
1107,47.83,500.00
1108,48.75,500.00
1109,43.86,500.00
1110,47.75,500.00
1111,47.70,500.00
