episode,rewards,loss,l2_grad,max_grad
421,-179.34,14.58,0.0779,2.2296
422,-88.98,26.07,0.0444,1.4647
423,-84.2,52.49,0.0683,2.3924
424,-57.95,74.3,0.0724,1.4338
425,-98.45,55.03,0.177,6.4071
426,-215.02,-50.81,0.1431,4.5562
427,-99.47,31.46,0.0967,2.4685
428,-83.32,37.67,0.0669,1.7597
429,-100.14,14.81,0.0487,1.4192
430,-108.34,41.9,0.0977,3.0487
431,-74.26,55.66,0.0708,2.0466
432,-11.15,124.64,0.1494,4.2564
433,-94.97,37.3,0.0646,1.7641
434,-100.08,23.55,0.0345,1.0878
435,-116.14,24.28,0.0382,1.0264
436,-83.61,35.53,0.0481,1.3398
437,-201.48,-48.26,0.1925,4.7775
438,-167.98,-36.04,0.1023,3.1512
439,-100.54,18.5,0.0408,1.1471
440,-156.59,-31.12,0.0291,0.8078
441,-146.67,-25.94,0.0349,1.3314
442,-58.32,59.65,0.1133,3.5245
443,7.49,126.69,0.2133,6.7771
444,-99.28,17.35,0.0343,1.0715
445,-113.22,23.21,0.0453,1.3525
446,-80.07,61.91,0.0932,2.9441
447,-103.72,9.28,0.0183,0.5256
448,-148.64,-7.77,0.056,1.5571
449,-252.96,-81.29,0.2846,9.0533
450,-88.72,22.16,0.0335,0.9089
451,-175.27,-13.45,0.1016,2.7577
452,-116.21,17.23,0.0255,0.9026
453,-64.14,51.38,0.0537,1.7326
454,-134.94,-17.63,0.0302,1.066
455,-236.83,-86.07,0.2232,7.5594
456,-103.64,14.88,0.0662,1.8893
457,-138.24,-18.96,0.0378,0.9261
458,42.94,161.22,0.1779,5.3248
459,-169.22,-45.2,0.1689,5.3198
460,-197.76,-85.08,0.1996,5.2328
461,-81.8,25.78,0.0365,1.0638
462,-123.13,-10.44,0.0191,0.6302
463,-274.97,-156.35,0.1268,1.4206
464,-229.39,-78.75,0.2523,6.1105
465,-149.87,-39.16,0.0784,2.6307
466,-106.28,19.9,0.0475,1.3919
467,-105.1,-7.72,0.0476,1.4908
468,-156.3,-30.63,0.0222,0.4739
469,-69.81,50.57,0.0455,1.3002
470,-110.64,3.22,0.0337,0.7926
471,-127.17,-11.93,0.0277,0.8655
472,-184.11,-62.07,0.0457,1.1449
473,-285.73,-152.37,0.1951,2.2135
474,-198.8,-74.92,0.1318,3.9299
475,-228.17,-63.42,0.2211,5.1706
476,-103.98,17.24,0.0165,0.4062
477,-134.58,1.8,0.0306,0.8694
478,-94.62,36.21,0.026,0.6284
479,-213.17,-65.31,0.1559,4.1223
480,-107.3,23.85,0.0375,0.9604
481,-110.51,15.8,0.057,1.7649
482,-142.85,-7.68,0.0166,0.51
483,-107.5,24.76,0.0545,1.9179
484,-81.22,49.11,0.0589,1.635
485,-163.85,-15.17,0.078,2.1918
486,-243.53,-106.13,0.1314,3.204
487,-183.43,-49.81,0.0749,1.7772
488,-123.66,22.6,0.0492,1.3076
489,-157.06,-15.07,0.0451,1.4176
490,-65.54,56.59,0.0582,1.2818
491,-119.54,12.38,0.0308,0.8917
492,-85.04,38.96,0.0569,1.5705
493,-79.69,49.91,0.1337,4.5293
494,-39.27,93.74,0.2966,7.9915
495,-69.78,32.29,0.0853,2.32
496,-90.73,24.25,0.0268,0.8165
497,-272.78,-82.31,0.3147,7.8905
498,-43.99,54.92,0.111,4.1099
499,-107.11,50.13,0.0622,1.3543
500,-107.36,20.22,0.0249,0.6506
501,-117.09,-10.78,0.0494,1.7573
502,-132.41,2.36,0.0635,1.9222
503,-53.64,63.1,0.1005,2.8142
504,-326.11,-164.72,0.4006,10.371
505,-73.26,34.06,0.0725,1.7067
506,-234.16,-64.56,0.2273,6.4466
507,-52.55,66.42,0.1486,4.1777
508,-94.08,37.67,0.0765,1.943
509,-95.48,20.7,0.0723,1.9176
510,-175.9,-28.92,0.0871,2.6919
511,-122.17,7.8,0.0266,0.8324
512,-130.56,-18.47,0.07,1.7034
513,-82.23,48.16,0.1484,3.8352
514,-161.98,-29.03,0.0578,1.7578
515,-140.64,-13.21,0.0134,0.293
516,-152.33,-21.82,0.083,1.9885
517,-97.72,23.53,0.0293,1.0262
518,-76.97,31.82,0.0644,1.7331
519,-63.86,29.86,0.0752,2.6794
520,-63.45,43.15,0.0405,1.034
521,-60.01,55.1,0.1049,2.5458
522,-49.18,44.76,0.1092,3.4576
523,-159.04,-4.7,0.0988,2.9082
524,-72.09,57.18,0.0969,2.081
525,-114.22,26.87,0.0301,0.7661
526,-123.05,-9.97,0.0219,0.5228
527,-127.27,-24.74,0.1048,2.5049
528,-65.9,52.94,0.0676,1.7274
529,-55.55,44.26,0.0631,1.8688
530,-151.95,-7.87,0.02,0.6592
531,-85.84,42.6,0.0405,0.9638
532,-116.65,4.17,0.0286,0.7476
533,-115.62,-3.39,0.0179,0.4455
534,-126.71,0.75,0.0188,0.5249
535,-95.52,36.06,0.0373,1.292
536,-337.55,-213.31,0.46,13.4777
537,-95.49,14.08,0.0429,1.3716
538,-93.19,8.15,0.0196,0.4362
539,-121.72,-11.74,0.0189,0.5608
540,-122,3.82,0.0486,1.3023
541,-58.19,54.5,0.1374,4.7182
542,-306,-182.44,0.5077,10.8442
543,-139.62,-4.26,0.0472,1.2153
544,-55.62,43.29,0.0761,1.9893
545,-117.07,4.38,0.0182,0.4251
546,-82.03,39.12,0.0944,3.2088
547,-108.44,-8.58,0.0276,0.8795
548,-119.58,-12.82,0.0385,1.1622
549,-10.34,121.68,0.1802,4.6873
550,-100.4,3.1,0.0416,0.7719
551,-142.86,-19.84,0.0228,0.6108
552,-106.06,-7.84,0.0508,1.3832
553,-30.18,63.4,0.1217,4.4116
554,-139.68,-24.42,0.0848,2.2619
555,-127.92,-31.35,0.0565,1.1331
556,-111.02,-1.53,0.0234,0.6554
557,-104.84,12.8,0.0512,1.5974
558,-193.85,-63.72,0.0749,1.547
559,-53.73,49.64,0.0494,1.1789
560,-124.39,-13.49,0.0459,1.36
561,-100.37,7.05,0.0387,0.9632
562,-40.42,85.01,0.2549,6.3489
563,-119.54,5.66,0.0234,0.8332
564,-112.47,9.93,0.0429,1.1916
565,-88.19,8.98,0.0357,0.8764
566,-76.39,45.74,0.0797,2.7537
567,-88.76,7.13,0.0284,0.5816
568,-101.74,4.52,0.0464,1.2254
569,-67.68,42.55,0.0815,2.3961
570,-132.6,-7.64,0.0398,1.0556
571,-109.7,23.8,0.1231,3.1432
572,-148.18,-49.06,0.0775,1.9328
573,-125.67,0.67,0.0459,1.2296
574,-119.72,-10.47,0.0096,0.1955
575,-88.06,25.45,0.0733,2.0858
576,-91.5,9.93,0.0307,0.8575
577,-115.8,-15.72,0.0214,0.5245
578,-124.41,-21.75,0.0425,1.1777
579,-119.47,4.74,0.0259,0.8163
580,-203.4,-66.94,0.0868,2.0002
581,-122.61,-0.17,0.031,0.613
582,-116.21,11.09,0.031,0.8066
583,-64.64,51.32,0.112,2.2905
584,-68.92,50.15,0.1517,4.6986
585,-101.03,6.07,0.0225,0.531
586,-65.53,64.05,0.1487,5.2299
587,-58.3,64.54,0.1211,2.5326
588,-62.35,46.59,0.0902,2.5449
589,-65.48,14.95,0.0626,1.6506
590,-178.72,-40.99,0.1201,3.2834
591,-87.75,23.05,0.0514,0.9282
592,-66.38,26.6,0.0452,0.9706
593,-58.11,73.36,0.161,3.2886
594,-79.49,15.95,0.0697,1.5322
595,-113.65,-7.79,0.0346,0.8933
596,-104.14,15.81,0.029,0.6151
597,-85.11,18.39,0.0379,0.9198
598,-125.91,-10.99,0.0263,0.6717
599,-133.67,6.38,0.0624,1.7635
600,-134.98,-36.56,0.1129,2.6577
601,-90.43,5.6,0.0391,1.0368
602,-38.53,80.35,0.1627,3.6017
603,-111.4,1.02,0.0482,0.9489
604,-67.76,28.22,0.0204,0.3278
605,-120.88,-22.46,0.0485,1.1274
606,-99.93,1.15,0.0524,1.0186
607,-83.56,0.63,0.0877,1.7419
608,-49.6,33.7,0.0901,2.3559
609,-108.21,15.58,0.0356,1.0458
610,-49.01,29.61,0.0828,2.265
611,-88.08,10.45,0.0406,1.0277
612,-99.16,-0.55,0.0293,0.6849
613,-98.45,-1.29,0.0244,0.5826
614,-130.6,-25.45,0.0392,1.0634
615,-128.44,-38.43,0.0861,2.8458
616,-101.13,1.09,0.0256,0.4419
617,-157.39,-44.36,0.0921,2.445
618,-120.96,-0.92,0.0219,0.3009
619,-117.32,-30.79,0.1088,2.4203
620,-132.03,-25.88,0.045,0.965
621,-87.4,10.59,0.0154,0.4442
622,-100.35,12.83,0.0334,0.7901
623,-112.51,-21.29,0.0706,1.3972
624,-111.32,-9.81,0.0369,1.0248
625,-83.05,16.41,0.0448,0.9289
626,-108.73,-13.95,0.0473,1.0712
627,-126.4,-23.06,0.0364,0.9338
628,-102.83,-13.67,0.0375,0.9668
629,-87.89,10.75,0.0484,0.8353
630,-223.17,-81.4,0.1071,2.7407
631,-239.08,-128.69,0.2808,3.3628
632,-89.02,2.73,0.0201,0.492
633,-286.19,-162.49,0.2684,8.1485
634,-150.47,-32.83,0.099,2.5684
635,-44.07,69.78,0.1594,3.813
636,-149.83,-16.9,0.0464,1.2451
637,-133.78,-6.26,0.0654,1.6855
638,-165.58,-23.14,0.039,0.7951
639,-51.97,9.63,0.093,2.1027
640,-364.13,-226.48,0.5729,13.0223
641,-132.82,-17.22,0.0457,1.0046
642,-93.8,17.08,0.0436,1.2212
643,-146.98,-16.06,0.0321,0.5641
644,-83.64,8.98,0.0559,1.3179
645,-98.9,15.65,0.0377,0.9254
646,-82.54,2.01,0.0299,0.5414
647,-77.26,32.8,0.0641,1.7236
648,-75.6,27.56,0.073,1.6047
649,-83.27,15.21,0.084,2.5075
650,-148.79,-35.77,0.1184,2.9754
651,-31.89,59.54,0.1464,4.1233
