episode,rewards,actor_loss,critic_loss
775,112.00,-0.0225,0.0525
776,110.00,-0.0209,0.0500
777,106.00,-0.1549,0.0499
778,49.00,-0.0040,0.2250
779,92.00,-0.0142,0.0366
780,102.00,-0.0038,0.0329
781,114.00,-0.3183,0.0371
782,130.00,-0.0132,0.0467
783,139.00,-0.0479,0.0538
784,120.00,-0.0143,0.0620
785,129.00,-0.0179,0.0662
786,135.00,-0.0572,0.0668
787,128.00,-0.0074,0.0729
788,118.00,-0.0819,0.0758
789,121.00,-0.0127,0.0756
790,122.00,-0.1127,0.0746
791,147.00,-0.0804,0.0799
792,137.00,-0.0505,0.0910
793,118.00,-0.0096,0.0715
794,118.00,-0.0872,0.0742
795,107.00,-0.1063,0.0725
796,123.00,-0.0243,0.0774
797,138.00,-0.1011,0.0852
798,136.00,-0.0732,0.0822
799,120.00,-0.0944,0.0756
800,151.00,-0.1745,0.0787
801,111.00,-0.0045,0.0665
802,106.00,-0.1741,0.0667
803,122.00,-0.0658,0.0688
804,138.00,-0.0344,0.0733
805,129.00,-0.0170,0.0722
806,88.00,-0.0023,0.0485
807,136.00,-0.2337,0.0673
808,162.00,-0.0061,0.0766
809,127.00,-0.0596,0.0824
810,125.00,-0.4835,0.0801
811,139.00,-0.0944,0.0784
812,129.00,-0.2017,0.0779
813,144.00,-0.0132,0.0751
814,158.00,-0.2482,0.0766
815,155.00,-0.0322,0.0822
816,114.00,-0.0097,0.0684
817,137.00,-0.0204,0.0666
818,124.00,-0.4380,0.0668
819,131.00,-0.0218,0.0723
