episode,rewards,actor_loss,critic_loss
457,-136.48,0.3114,0.0382
458,-61.76,0.0024,0.0000
459,-154.12,0.0266,0.1313
460,39.24,0.0012,0.0000
461,-36.24,0.0000,0.7291
462,-123.05,0.0050,0.0130
463,-65.46,-0.0671,0.1975
464,-126.50,0.0000,0.5334
465,-65.80,0.0051,0.0000
466,-132.88,0.0007,0.0000
467,-110.97,-0.0046,0.3350
468,-88.12,-0.4048,0.1305
469,-65.66,-0.0554,0.0274
470,-122.49,-0.0331,0.0225
471,-25.66,0.0004,0.0000
472,-61.15,-0.0257,0.1160
473,-130.07,-0.0082,0.3566
474,-291.75,-0.0000,0.2778
475,-109.07,-0.0027,0.0072
476,-109.83,-0.0490,0.0309
477,-44.73,0.0019,0.0003
478,-135.00,0.0000,0.0514
479,-114.06,-0.0014,0.0000
480,-123.12,-0.0059,0.0000
481,-130.36,-0.0002,0.0024
482,-232.43,-0.0059,0.0001
483,-119.98,-0.0036,0.2329
484,-251.10,-0.0569,0.4596
485,-143.19,-0.4617,0.1656
486,-225.30,-0.3659,0.0977
487,-120.53,-0.0024,0.0125
488,-118.79,-0.0735,0.0368
489,-119.39,-0.0025,0.0006
490,-113.62,-0.1761,0.0349
491,-149.28,-0.0031,0.0000
492,-150.46,-0.0254,0.6175
493,-171.56,-0.2928,0.1857
494,-154.02,0.0825,0.0785
495,-119.69,0.1321,0.0251
496,-57.88,0.0122,0.0000
497,-188.11,-0.0005,0.4135
498,-124.06,-0.1597,0.0671
499,-112.75,-0.0065,0.0000
500,-167.46,-0.0563,0.2543
501,-81.88,0.0017,0.0000
502,-77.42,0.0057,0.0000
503,-72.99,0.0001,0.0001
504,-70.20,-0.0001,0.0000
505,-96.07,-0.0071,0.0001
506,-149.09,0.0001,0.0000
507,-93.66,-0.0013,0.0002
508,-62.22,0.0005,0.0001
509,-120.53,-0.0125,0.4555
510,-46.92,0.0122,0.0000
511,-73.72,0.0077,0.0000
512,-61.71,0.0009,0.0002
513,-54.15,-0.0304,0.4004
514,-67.84,-0.1006,0.1742
515,73.65,0.0000,1.1032
516,-124.53,0.0000,2.2189
517,-57.49,0.0000,0.8120
518,72.83,-0.0000,0.7499
519,-49.91,-0.0001,0.8276
520,-56.34,-0.3658,0.0900
521,-92.17,-0.0122,0.1284
522,-118.09,-0.5462,0.3530
523,-53.50,-0.0006,0.0000
524,106.86,-0.0000,1.3229
525,-67.02,-0.0026,0.0000
526,-35.55,0.0000,0.0001
527,-79.64,-0.0009,0.0000
528,-128.17,0.0000,0.0000
529,-211.09,-0.0019,0.5910
530,67.40,0.0033,0.0000
531,-119.99,-0.0736,0.3107
532,-52.57,0.0010,0.0001
533,-17.34,0.0000,0.0000
534,246.32,0.0072,0.5976
535,-206.42,-0.5334,0.3547
536,-10.76,-0.0367,1.8104
537,-72.11,0.0001,0.0002
538,-17.18,0.0000,1.0377
539,-21.71,0.0000,1.3757
540,-60.45,-0.0000,0.0000
541,-58.85,0.0009,0.0000
542,-58.31,0.0017,0.0000
543,-17.95,0.0034,0.0000
544,-87.26,-0.0011,0.5999
545,-89.84,0.0000,1.1485
546,-61.19,0.0130,0.0004
547,-92.99,0.0299,0.0003
548,-56.29,0.0021,0.0000
549,-61.84,0.0005,0.0000
550,-79.56,0.0177,0.0001
551,-99.03,-0.3864,0.5097
552,-128.40,-0.1247,0.0411
553,-108.32,0.0000,0.0000
554,-106.84,-0.0905,0.4799
555,-69.29,0.0049,0.0000
556,-122.98,-0.0005,0.0000
557,-252.12,-0.0122,0.2671
558,-229.14,-0.0024,0.2933
559,-199.90,-0.1820,0.2513
560,-108.20,-0.0661,0.0811
561,-59.47,-0.0003,0.0000
562,-96.33,-0.2868,0.3734
563,-44.51,0.0188,0.0001
564,-78.10,-0.0004,0.0002
565,-74.95,0.0053,0.0003
566,-69.29,0.0005,0.0000
567,-36.06,-0.0026,0.0000
568,-104.08,-0.0304,0.2622
569,-96.44,-0.1182,0.2392
570,-55.86,-0.0024,0.8784
571,-43.76,0.0000,0.0014
572,-18.82,0.0010,0.0000
573,-150.53,-0.0053,0.1261
574,2.63,0.0000,0.0000
575,-42.17,-0.0002,0.0000
576,-58.01,0.0000,0.0061
577,175.44,0.1619,1.0004
578,88.99,-0.0000,0.8203
579,204.02,0.0441,0.5559
580,243.39,0.0012,0.9348
581,100.62,-0.0000,0.8974
582,-75.00,-0.0076,0.3323
583,132.96,-0.0000,1.1899
584,-94.51,0.0001,0.0000
585,2.13,0.0023,0.0002
586,-102.60,-0.0487,0.2660
587,165.13,-0.0000,0.4536
588,-62.58,-0.0001,0.0000
589,-49.19,0.0171,0.0003
590,-59.43,0.0040,0.0000
591,25.89,0.0006,0.0004
592,-50.29,0.0000,0.0000
593,172.70,0.0162,0.2365
594,38.95,-0.0010,2.5570
595,-29.02,-0.0001,0.0001
596,-46.30,-0.0000,0.0002
597,-77.83,0.0000,1.5211
598,-35.65,-0.0029,1.2705
599,-34.32,-0.0005,1.6985
600,208.21,0.0667,0.8679
601,223.50,0.0348,0.3590
602,143.29,0.0002,0.4367
603,-11.75,-0.0002,2.1236
604,-40.39,0.0001,0.0000
605,-13.93,-0.0013,0.0000
606,179.06,0.0000,0.4577
607,-9.83,0.0000,1.1657
608,-99.22,0.0000,1.6510
609,-53.21,0.0102,0.0001
610,3.50,0.0000,1.2278
611,186.58,-0.0000,1.0053
612,220.09,-0.0000,0.6748
613,-8.44,0.0000,1.8963
614,-38.76,0.0000,1.3775
615,-58.11,0.0000,1.7410
616,-82.07,0.0000,1.0866
617,202.89,0.1099,1.5168
618,-58.71,-0.0105,0.0001
619,197.67,0.0470,0.8166
620,-21.42,0.0038,0.0001
621,-36.35,0.0002,0.0005
622,-83.30,0.0000,1.4022
623,-16.66,0.0028,0.0000
624,118.80,0.0051,0.7421
625,-117.27,-0.0001,1.4595
626,-48.97,-0.0000,0.0000
627,-54.47,-0.0000,0.0003
628,-146.38,-0.0594,0.4281
629,-15.55,0.0041,0.0000
630,-63.32,-0.1102,0.3942
631,-135.65,0.0000,1.1638
632,-56.47,-0.0090,0.0001
633,-45.95,-0.0003,0.0000
634,-96.37,-0.0706,0.2433
635,-97.84,-0.2997,0.2000
636,-106.79,0.0000,0.5148
637,-37.58,0.0000,0.3668
638,-51.72,-0.0028,0.0000
639,-147.47,-0.4033,0.5294
640,-134.61,-0.0000,0.0001
641,-193.71,-0.2135,0.2582
642,-93.87,-0.1264,0.1055
643,-32.46,0.0003,0.0000
644,-40.91,0.0000,0.0000
645,-26.54,0.0018,0.0000
646,-56.13,0.0036,0.0000
647,-101.71,-0.0141,0.0001
648,-36.46,0.0000,0.0000
649,-127.44,-0.0177,0.0001
650,-131.19,-0.2760,0.7210
651,-77.22,-0.0006,0.0000
652,-101.74,-0.5454,0.7023
653,-101.61,0.0015,0.0000
654,22.50,-0.0000,0.0014
655,-84.55,-0.0003,0.2305
656,189.32,0.0251,0.9529
657,-121.04,0.0000,0.7055
658,-113.52,0.0079,0.0000
659,-15.71,-0.0006,0.0000
660,182.32,-0.0000,1.0377
661,-169.04,-0.2107,0.5465
662,-25.10,-0.0297,0.4105
663,-125.27,0.0022,0.0000
664,-83.61,-0.0097,0.3478
665,224.47,0.0200,1.0467
666,-188.19,-1.4004,0.5343
667,210.60,-0.0000,0.6700
668,-98.73,-0.0004,0.0000
669,10.99,0.0000,1.1550
670,-9.70,-0.0000,0.8446
671,-110.08,-0.0005,0.0000
672,-85.76,-0.0175,0.3056
673,-92.79,-0.0076,0.2565
674,-103.02,-0.0000,0.0001
675,171.58,0.0195,0.8098
676,-181.92,-0.0078,0.0000
677,-169.35,0.0033,0.0000
678,-78.06,-0.0000,0.0001
679,-95.50,0.0006,0.0001
680,-92.94,0.0005,0.0000
681,-124.22,-0.0002,0.0003
682,-144.14,0.0070,0.0000
683,-139.80,-0.0009,0.0001
684,-186.32,-0.0038,0.0000
685,-77.95,-0.0008,0.0000
686,-82.52,-0.0000,0.0000
687,-76.55,-0.0000,0.0001
688,-129.81,-0.0004,0.0000
689,-107.58,0.0012,0.0002
