episode,rewards
993,80.50
994,-72.60
995,-44.15
996,-0.20
997,-135.79
998,-122.57
999,-95.04
1000,-230.12
1001,-79.10
1002,-98.07
1003,-107.92
1004,-180.78
1005,-133.04
1006,59.87
1007,-59.00
1008,-113.73
1009,-81.56
1010,181.00
1011,140.93
1012,-105.23
1013,95.89
1014,198.29
1015,-66.14
1016,78.96
1017,-145.06
1018,-85.29
1019,49.33
1020,-43.50
1021,-60.55
1022,119.48
1023,124.11
1024,59.20
1025,25.81
1026,-34.88
1027,-157.34
1028,13.00
1029,-61.71
1030,-22.08
1031,-147.15
1032,53.92
1033,-88.39
1034,-42.70
1035,-77.18
1036,186.61
1037,62.81
1038,7.99
1039,-45.28
1040,62.67
1041,-111.24
1042,119.33
1043,33.94
1044,-94.05
1045,-68.56
1046,-9.79
1047,-81.90
1048,-96.44
1049,-83.55
1050,-132.53
1051,-80.98
1052,-132.42
1053,151.80
1054,-111.20
1055,-106.63
1056,-101.66
1057,-152.28
1058,-132.80
1059,3.58
1060,-61.44
1061,135.42
1062,191.18
1063,-35.17
1064,94.00
1065,-50.83
1066,-13.12
1067,243.38
1068,-11.20
1069,-69.49
1070,145.04
1071,176.58
1072,-60.20
1073,99.96
1074,162.14
1075,-73.34
1076,169.49
1077,-13.14
1078,-12.47
1079,-64.74
1080,-67.68
1081,155.76
1082,114.50
1083,73.47
1084,-63.63
1085,-96.91
1086,-37.05
1087,-59.27
1088,-92.66
1089,-138.57
1090,-37.97
1091,-11.60
1092,71.95
1093,28.04
1094,-65.09
1095,-115.70
1096,-130.15
1097,-130.01
1098,34.83
1099,194.69
1100,-38.28
1101,182.98
1102,247.33
1103,-53.98
1104,22.17
1105,-37.43
1106,-30.63
1107,139.48
1108,-50.22
1109,22.88
1110,85.21
1111,-2.89
1112,-23.36
1113,-34.33
1114,-44.88
1115,-72.63
1116,-16.99
1117,-34.99
1118,-25.72
1119,-148.68
1120,-51.71
1121,0.22
1122,-45.97
1123,-68.85
1124,-97.32
1125,-150.40
1126,-98.05
1127,43.28
1128,-45.81
1129,-30.87
1130,200.92
1131,63.86
1132,-101.47
1133,-90.89
1134,-95.58
1135,-108.51
1136,-25.70
1137,-49.73
1138,-109.92
1139,-134.67
1140,27.33
1141,-84.34
1142,-76.34
1143,-160.89
1144,77.94
1145,84.90
1146,209.29
1147,-49.14
1148,179.21
1149,152.14
1150,-51.51
1151,-77.92
1152,-136.46
1153,-10.82
1154,-137.92
1155,-6.35
1156,142.18
1157,-42.01
1158,-92.57
1159,-55.02
1160,-46.50
1161,-34.28
1162,-6.66
1163,-98.11
1164,-169.19
1165,-158.10
